Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
0,296.15994034858795,Private room,True,10.0,1,2.35385,48.86282,0
0,536.3966818902041,Entire home/apt,False,9.0,1,2.359,48.868,1
1,290.101593811166,Private room,True,10.0,1,2.35385,48.86282,1
1,288.23748718426697,Private room,True,10.0,1,2.32436,48.85902,0
2,211.3430888246808,Private room,False,10.0,1,2.31714,48.87475,0
2,445.7544971572374,Entire home/apt,False,10.0,1,2.36023,48.86375,1
3,298.9561002889365,Entire home/apt,False,9.0,1,2.356,48.861,0
3,211.3430888246808,Private room,False,10.0,1,2.31714,48.87475,1
4,266.334234318203,Entire home/apt,True,9.0,1,2.33408,48.853840000000005,1
4,247.9261813775748,Entire home/apt,False,7.0,1,2.35915,48.86648,0
5,345.0927393046882,Entire home/apt,False,9.0,1,2.356,48.861,1
5,527.0761487557088,Entire home/apt,True,10.0,1,2.33201,48.85891,0
6,387.03513840991707,Entire home/apt,True,10.0,1,2.342,48.853,1
6,193.6340758691397,Private room,False,10.0,1,2.3067,48.87582,0
7,247.9261813775748,Entire home/apt,False,7.0,1,2.35915,48.86648,1
7,207.1488489141579,Entire home/apt,False,10.0,1,2.36075,48.86825,0
8,527.0761487557088,Entire home/apt,True,10.0,1,2.33201,48.85891,1
8,345.0927393046882,Entire home/apt,False,9.0,0,2.33543,48.86767,0
9,741.4484108491006,Entire home/apt,False,10.0,1,2.3446700000000003,48.86352,0
9,193.6340758691397,Private room,False,10.0,1,2.3067,48.87582,1
10,350.9180725137478,Private room,True,10.0,1,2.36172,48.86452,0
10,207.1488489141579,Entire home/apt,False,10.0,1,2.36075,48.86825,1
11,345.0927393046882,Entire home/apt,False,9.0,0,2.33543,48.86767,1
11,239.30468822816667,Entire home/apt,False,9.0,0,2.3484,48.86815,0
12,242.7998881536024,Private room,True,10.0,1,2.35093,48.85061,0
12,263.7710877062168,Entire home/apt,False,9.0,0,2.3484,48.86815,1
13,242.7998881536024,Private room,False,10.0,1,2.3506,48.86612,0
13,242.7998881536024,Private room,False,10.0,1,2.3506,48.86612,1
14,382.1418585143071,Private room,False,10.0,1,2.34653,48.8699,1
14,845.6053686270855,Entire home/apt,False,8.0,1,2.30609,48.87234,0
15,372.82132537981175,Entire home/apt,False,9.0,1,2.33735,48.86791,1
15,277.9849007363221,Private room,True,10.0,1,2.35564,48.85739,0
16,484.2016963370305,Entire home/apt,False,10.0,1,2.3538,48.86394,1
16,301.053220244198,Entire home/apt,True,10.0,0,2.322,48.87,0
17,435.5019107092926,Entire home/apt,False,9.0,1,2.34713,48.86711,1
17,301.053220244198,Entire home/apt,False,10.0,1,2.33902,48.8551,0
18,509.8331624568925,Entire home/apt,False,10.0,1,2.31294,48.86943,1
18,382.1418585143071,Private room,False,10.0,1,2.34653,48.8699,0
19,336.00521949855533,Entire home/apt,False,9.0,1,2.33735,48.86791,0
19,318.29620654301425,Entire home/apt,False,9.0,0,2.34119,48.86274,1
20,484.2016963370305,Entire home/apt,False,10.0,1,2.3538,48.86394,0
20,394.7245782458757,Entire home/apt,False,9.0,1,2.33927,48.85487,1
21,287.07242054245506,Private room,False,10.0,1,2.34349,48.87597,1
21,435.5019107092926,Entire home/apt,False,9.0,1,2.34713,48.86711,0
22,305.71348681144565,Private room,False,9.0,1,2.32478,48.85609,1
22,463.46351011277847,Entire home/apt,False,10.0,1,2.31294,48.86943,0
23,318.29620654301425,Entire home/apt,False,9.0,0,2.34119,48.86274,0
23,866.8095815080623,Entire home/apt,False,10.0,2,2.35136,48.86722,1
24,866.8095815080623,Entire home/apt,False,10.0,2,2.35289,48.86893,1
24,287.07242054245506,Private room,False,10.0,1,2.34349,48.87597,0
25,373.98639202162366,Entire home/apt,True,10.0,1,2.35258,48.87335,1
25,305.71348681144565,Private room,False,9.0,1,2.32478,48.85609,0
26,815.7796625967005,Entire home/apt,False,10.0,2,2.35136,48.86722,0
26,287.3054338708174,Entire home/apt,False,9.0,1,2.34905,48.867740000000005,1
27,382.1418585143071,Entire home/apt,False,10.0,1,2.33218,48.85378,1
27,968.403392674061,Entire home/apt,False,10.0,2,2.35917,48.86455,0
28,426.4143909031597,Entire home/apt,False,9.0,2,2.32912,48.85732,1
28,968.403392674061,Entire home/apt,False,10.0,2,2.35871,48.866240000000005,0
29,486.5318296206543,Entire home/apt,False,9.0,0,2.35327,48.8537,1
29,469.0558299934757,Entire home/apt,False,9.0,2,2.36022,48.85629,0
30,169.63370304781435,Entire home/apt,True,10.0,0,2.36095,48.8631,1
30,373.98639202162366,Entire home/apt,True,10.0,1,2.35258,48.87335,0
31,287.3054338708174,Entire home/apt,False,9.0,1,2.34905,48.867740000000005,0
31,289.4025538260789,Entire home/apt,False,8.0,0,2.3566700000000003,48.86327,1
32,507.037002516544,Entire home/apt,True,10.0,2,2.31215,48.87865,1
32,619.815453443937,Entire home/apt,False,10.0,2,2.35816,48.86382,0
33,382.1418585143071,Entire home/apt,False,10.0,1,2.33218,48.85378,0
33,318.29620654301425,Entire home/apt,False,9.0,1,2.318,48.871,1
34,426.4143909031597,Entire home/apt,False,9.0,2,2.32912,48.85732,0
34,792.4783297604623,Private room,False,9.0,2,2.3599,48.86432,1
35,486.5318296206543,Entire home/apt,False,9.0,0,2.35327,48.8537,0
35,1121.2601360797837,Entire home/apt,False,9.0,3,2.3511,48.86941,1
36,169.63370304781435,Entire home/apt,True,10.0,0,2.36095,48.8631,0
36,711.1566781619908,Entire home/apt,False,9.0,2,2.361,48.862,1
37,697.4088917886103,Private room,False,10.0,1,2.321,48.869,1
37,289.4025538260789,Entire home/apt,False,8.0,0,2.3566700000000003,48.86327,0
38,428.5115108584211,Private room,False,9.0,1,2.321,48.869,1
38,833.9547022089664,Private room,False,9.0,2,2.3599,48.86432,0
39,312.7038866623171,Entire home/apt,False,9.0,0,2.36003,48.85463,1
39,632.3981731755057,Entire home/apt,False,9.0,2,2.361,48.862,0
40,735.6230776400411,Entire home/apt,True,10.0,1,2.31622,48.871390000000005,1
40,697.4088917886103,Private room,False,10.0,1,2.321,48.869,0
41,428.5115108584211,Private room,False,9.0,1,2.321,48.869,0
41,660.1267592506291,Entire home/apt,True,10.0,1,2.34744,48.86212,1
42,312.7038866623171,Entire home/apt,False,9.0,0,2.36003,48.85463,0
42,560.6300680398919,Entire home/apt,False,10.0,1,2.331,48.87,1
43,291.7326871097027,Entire home/apt,False,9.0,1,2.35246,48.86979,1
43,366.0639388573027,Entire home/apt,False,9.0,0,2.3341,48.87415,0
44,465.5606300680399,Entire home/apt,False,9.0,2,2.3402700000000003,48.8716,1
44,689.253425295927,Entire home/apt,True,10.0,1,2.31622,48.871390000000005,0
45,423.8512442911735,Private room,False,10.0,1,2.36157,48.86226,0
45,560.6300680398919,Entire home/apt,False,10.0,1,2.331,48.87,1
46,318.29620654301425,Entire home/apt,False,9.0,1,2.35776,48.87248,0
46,212.04212880976792,Private room,False,10.0,1,2.34478,48.87276,1
47,663.6219591760649,Entire home/apt,False,9.0,1,2.329,48.853,1
47,474.6481498741728,Entire home/apt,True,10.0,1,2.33,48.86494,0
48,212.04212880976792,Private room,False,9.0,1,2.34647,48.87191,1
48,660.1267592506291,Entire home/apt,True,10.0,1,2.34744,48.86212,0
49,576.9410010252586,Entire home/apt,False,9.0,2,2.32167,48.855540000000005,1
49,263.7710877062168,Entire home/apt,False,9.0,0,2.35031,48.86953,0
50,474.8811632025352,Entire home/apt,False,9.0,1,2.33149,48.86919,1
50,606.7667070556436,Entire home/apt,False,10.0,1,2.331,48.87,0
51,559.46500139808,Entire home/apt,False,9.0,1,2.35181,48.86725,1
51,291.7326871097027,Entire home/apt,False,9.0,1,2.35246,48.86979,0
52,948.8302730916208,Entire home/apt,False,10.0,2,2.35011,48.8669,1
52,589.7567340851897,Entire home/apt,False,9.0,1,2.329,48.853,0
53,571.1156678161991,Entire home/apt,False,9.0,1,2.35279,48.86813,1
53,555.9698014726442,Entire home/apt,False,9.0,0,2.35026,48.86997,0
54,527.0761487557088,Entire home/apt,False,9.0,1,2.35122,48.86638,1
54,422.91919097772393,Entire home/apt,True,10.0,1,2.343,48.853,0
55,469.0558299934757,Entire home/apt,False,8.0,1,2.36071,48.85814,0
55,546.649268338149,Entire home/apt,False,9.0,1,2.33177,48.87529,1
56,524.746015472085,Entire home/apt,False,9.0,1,2.35181,48.86725,0
56,434.3368440674807,Entire home/apt,False,10.0,1,2.36291,48.86257,1
57,277.9849007363221,Entire home/apt,True,10.0,1,2.34484,48.85072,1
57,921.1016870164974,Entire home/apt,False,10.0,2,2.35011,48.8669,0
58,212.04212880976792,Private room,False,10.0,1,2.3458900000000003,48.87187,1
58,880.5573678814428,Entire home/apt,False,9.0,1,2.33718,48.85376,0
59,212.04212880976792,Private room,False,10.0,1,2.34468,48.87152,1
59,486.2988162922919,Entire home/apt,False,9.0,1,2.33177,48.87529,0
60,212.04212880976792,Private room,False,10.0,1,2.34426,48.8717,1
60,434.3368440674807,Entire home/apt,False,10.0,1,2.36291,48.86257,0
61,284.9753005871936,Entire home/apt,True,10.0,1,2.34484,48.85072,0
61,590.4557740702768,Entire home/apt,True,9.0,2,2.36585,48.86462,1
62,393.79252493242615,Private room,False,8.0,1,2.30765,48.8733,1
62,393.79252493242615,Private room,False,8.0,1,2.30765,48.8733,0
63,405.4431913505453,Private room,False,10.0,1,2.321,48.869,0
63,405.4431913505453,Private room,False,10.0,1,2.321,48.869,1
64,287.3054338708174,Entire home/apt,False,9.0,0,2.34838,48.86795,1
64,287.3054338708174,Entire home/apt,False,9.0,0,2.34838,48.86795,0
65,254.6835679000839,Entire home/apt,False,10.0,0,2.36512,48.86234,1
